"Game Title","User Rating",age_group_id,Price,platform_id,special_device_id,developer_publisher_id,release_year_id,genre_id,multiplayer_id,"Game Length (Hours)",game_quality_id,"User Review Text",game_mode_id,"Min Number of Players"
"FIFA 24",29.6,2,28.04,1,1,49,10,3,2,46.5,2,"Disappointing game, but the gameplay is amazing.",2,10
"FIFA 24",29.9,4,48.76,5,2,32,3,8,1,24.3,22,"Solid game, but the graphics could be better.",2,3
"Mario Kart 8 Deluxe",29.9,2,43.8,2,1,50,12,4,1,26.8,39,"Amazing game, but the gameplay is amazing.",2,5
"Sid Meierâ€™s Civilization VI",34.8,4,40.85,2,2,24,5,10,1,41.9,24,"Amazing game, but too many bugs.",1,8
Hades,23.3,4,39.48,3,1,51,14,10,1,13.3,8,"Solid game, but too many bugs.",2,4
"The Legend of Zelda: Breath of the Wild",29.6,1,44.04,4,1,30,1,1,2,25.7,3,"Amazing game, but the graphics could be better.",1,7
"Halo Infinite",36.6,2,55.05,3,2,14,3,8,1,31.1,8,"Solid game, but too many bugs.",1,4
"Tekken 7",34.7,2,40.92,1,2,52,14,1,1,43.1,21,"Disappointing game, but the graphics could be better.",2,1
"The Sims 4",41,4,50.47,5,1,3,10,6,2,49.7,40,"Solid game, but the gameplay is amazing.",1,7
"The Legend of Zelda: Breath of the Wild",29.1,4,33.71,3,1,53,8,6,1,41.9,12,"Great game, but the graphics could be better.",2,4
"Tekken 7",32,4,55.83,2,1,4,2,5,2,9.8,41,"Solid game, but the graphics could be better.",2,5
"Ghost of Tsushima",33.9,4,40.54,3,1,54,14,4,2,50.9,15,"Disappointing game, but the gameplay is amazing.",1,10
Fortnite,38.3,3,41.73,1,1,39,1,9,1,54.1,41,"Solid game, but the graphics could be better.",1,7
"Sid Meierâ€™s Civilization VI",37.5,4,37.8,1,1,55,7,4,1,58.7,8,"Great game, but too many bugs.",1,2
"League of Legends",28.9,2,45.82,5,2,8,7,2,1,15.4,4,"Disappointing game, but too many bugs.",1,1
"Mario Kart 8 Deluxe",22.5,4,23.29,3,1,56,1,2,1,38,42,"Solid game, but the graphics could be better.",1,1
Cuphead,24.6,4,32.69,3,1,57,12,2,1,28.5,8,"Amazing game, but too many bugs.",1,7
Cuphead,25,4,30.01,2,1,58,1,7,2,38.2,2,"Solid game, but the graphics could be better.",2,10
"FIFA 24",34.1,4,41.18,1,1,37,8,3,2,51,28,"Great game, but the graphics could be better.",2,1
"Half-Life: Alyx",37.5,2,40.63,4,2,57,14,2,1,57.3,16,"Disappointing game, but too many bugs.",1,2
Cuphead,31.9,3,35.76,1,2,20,2,10,2,50.3,24,"Disappointing game, but the gameplay is amazing.",1,6
"Red Dead Redemption 2",25.1,3,30.83,5,1,59,5,5,2,28.6,43,"Great game, but the graphics could be better.",2,6
"The Witcher 3: Wild Hunt",28.6,1,40.75,3,2,12,9,10,1,27,38,"Disappointing game, but the gameplay is amazing.",1,6
"Portal 2",35.7,2,38.12,2,1,3,11,6,2,55.9,44,"Great game, but the gameplay is amazing.",1,5
"Just Dance 2024",34.7,4,45.83,1,2,60,5,10,2,40.9,25,"Solid game, but the graphics could be better.",2,6
"Grand Theft Auto V",44.1,4,57.59,3,1,29,9,4,1,57.3,45,"Solid game, but the gameplay is amazing.",2,3
"The Legend of Zelda: Breath of the Wild",32.6,2,48.69,4,1,61,4,5,2,24.1,31,"Great game, but too many bugs.",2,5
"League of Legends",32.4,3,27.4,5,1,62,14,1,1,56.3,2,"Solid game, but the graphics could be better.",1,7
Fortnite,31.1,2,40.03,3,2,3,14,7,2,31.7,41,"Great game, but the gameplay is amazing.",2,2
"Animal Crossing: New Horizons",33.2,4,52.77,4,2,63,5,3,1,16.1,45,"Great game, but the gameplay is amazing.",1,10
"The Legend of Zelda: Breath of the Wild",17.1,4,26.03,3,1,26,4,1,2,15.5,38,"Disappointing game, but the graphics could be better.",2,7
"Super Smash Bros. Ultimate",28.4,1,34.56,4,2,64,9,5,1,40.7,42,"Great game, but too many bugs.",2,8
"League of Legends",20.2,1,31.09,1,2,64,5,9,1,11.6,27,"Solid game, but the graphics could be better.",2,1
"Half-Life: Alyx",21.4,2,21.57,4,1,29,9,1,1,29.8,27,"Great game, but too many bugs.",2,8
"Half-Life: Alyx",46.1,4,56.41,2,1,39,4,8,2,55.7,46,"Solid game, but too many bugs.",1,1
Minecraft,40.5,1,49.64,4,2,11,6,5,1,51.8,35,"Great game, but the graphics could be better.",2,5
"Tomb Raider (2013)",13.9,4,27.04,5,1,59,8,1,2,6.8,47,"Amazing game, but the gameplay is amazing.",2,6
"League of Legends",20.9,1,36.55,4,2,37,8,7,1,12.7,34,"Great game, but too many bugs.",1,1
Hades,20.8,3,36.65,5,1,65,3,9,2,9,48,"Great game, but too many bugs.",1,5
"PokÃ©mon Scarlet & Violet",22.2,3,26.35,3,2,37,6,4,1,34.5,23,"Amazing game, but the graphics could be better.",2,4
Tetris,18.5,1,33.68,5,1,22,1,2,2,9.7,44,"Great game, but the gameplay is amazing.",2,10
"The Elder Scrolls V: Skyrim",25.3,2,23.24,2,1,36,3,2,2,48.1,25,"Disappointing game, but too many bugs.",2,3
Hades,38.5,4,43.33,4,2,17,5,10,2,51.5,49,"Amazing game, but the gameplay is amazing.",2,8
"Kingdom Hearts III",26.7,1,30.02,3,1,66,6,9,2,43.7,50,"Disappointing game, but the graphics could be better.",2,2
"Ghost of Tsushima",34.9,1,30.36,5,1,25,1,1,2,59.3,41,"Great game, but the gameplay is amazing.",2,10
"FIFA 24",34.9,2,46.36,5,2,67,2,3,2,41.3,21,"Solid game, but the gameplay is amazing.",1,1
"Ghost of Tsushima",23.1,2,33.54,2,1,68,10,1,2,23.9,20,"Amazing game, but the graphics could be better.",1,2
"Pillars of Eternity II: Deadfire",31.8,1,53.31,2,1,22,3,5,1,15.2,33,"Amazing game, but too many bugs.",2,6
"Kingdom Hearts III",30.7,3,52.02,5,1,8,2,7,2,11,5,"Amazing game, but too many bugs.",1,4
"Counter-Strike: Global Offensive",22.6,4,25.89,2,2,34,14,5,2,28.9,5,"Great game, but too many bugs.",2,2
"Mario Kart 8 Deluxe",32.4,3,32.89,4,2,4,12,1,1,52.8,51,"Solid game, but too many bugs.",1,1
"Super Mario Odyssey",34.7,1,46.59,1,1,43,4,7,1,38,31,"Solid game, but too many bugs.",2,7
"The Witcher 3: Wild Hunt",36.3,2,49.62,1,2,1,13,9,1,32.1,52,"Amazing game, but the graphics could be better.",1,1
"The Elder Scrolls V: Skyrim",37.7,1,58.56,3,2,59,8,1,2,31.8,53,"Solid game, but too many bugs.",1,3
"League of Legends",32.4,3,55.08,1,2,9,12,3,2,19.6,47,"Disappointing game, but too many bugs.",1,1
"Half-Life: Alyx",36.7,2,41.67,2,1,9,12,1,2,53.7,34,"Amazing game, but the gameplay is amazing.",1,10
"Spelunky 2",23.3,4,25.5,3,2,63,14,7,2,38.7,6,"Amazing game, but the graphics could be better.",2,8
"Red Dead Redemption 2",26.6,4,35.69,3,1,54,2,9,1,30.4,25,"Great game, but the gameplay is amazing.",1,6
"1000-Piece Puzzle",46,3,58.75,3,1,9,14,6,1,50.1,18,"Amazing game, but the gameplay is amazing.",2,2
"Counter-Strike: Global Offensive",20.7,4,30.91,3,1,18,3,4,2,20.2,54,"Great game, but too many bugs.",2,7
"Animal Crossing: New Horizons",36.4,2,45.34,5,2,57,5,9,2,43.7,55,"Solid game, but the gameplay is amazing.",2,7
"FIFA 24",28.7,4,34.04,1,1,46,11,8,1,36.3,3,"Solid game, but too many bugs.",2,4
"1000-Piece Puzzle",25.2,1,42.13,2,2,22,11,4,1,8.8,13,"Amazing game, but the gameplay is amazing.",2,4
Fortnite,21.6,4,40.71,3,1,27,11,7,2,9.7,18,"Solid game, but the graphics could be better.",2,6
"Pillars of Eternity II: Deadfire",25.3,4,39.72,1,1,69,1,9,1,18.5,15,"Solid game, but too many bugs.",2,8
"Tekken 7",44.4,1,57.16,5,2,26,14,6,1,56,56,"Solid game, but the graphics could be better.",1,6
Minecraft,15.7,1,26.36,3,2,43,7,7,2,14.1,57,"Amazing game, but the gameplay is amazing.",1,8
"Halo Infinite",22.8,2,20.09,2,2,70,5,3,2,36.3,26,"Amazing game, but the graphics could be better.",1,4
"The Legend of Zelda: Breath of the Wild",30.6,1,22.76,3,1,40,10,6,1,58.5,39,"Amazing game, but the gameplay is amazing.",2,2
"Grand Theft Auto V",37.4,3,41.74,3,2,71,10,8,1,59.3,24,"Solid game, but the gameplay is amazing.",2,4
"Just Dance 2024",18.6,2,27.5,2,2,68,8,5,2,18.8,18,"Amazing game, but the graphics could be better.",1,5
"Fall Guys",44.5,4,59.38,4,2,64,14,10,2,54,58,"Solid game, but the gameplay is amazing.",2,8
"Overwatch 2",29.1,3,43.67,4,2,16,4,4,1,30.6,21,"Amazing game, but the gameplay is amazing.",2,3
"Bioshock Infinite",24.9,1,24.22,1,1,72,14,6,1,44.7,46,"Solid game, but the graphics could be better.",1,5
Cuphead,24.4,3,34.76,5,2,22,9,4,1,19.3,8,"Amazing game, but the graphics could be better.",1,2
Fortnite,36.9,2,47.1,2,2,67,4,2,2,38.3,59,"Amazing game, but too many bugs.",2,3
Tetris,36,3,41.71,2,1,22,12,7,1,54,35,"Disappointing game, but the gameplay is amazing.",2,7
"PokÃ©mon Scarlet & Violet",11.3,4,22.13,5,1,27,13,4,1,6.6,19,"Great game, but the graphics could be better.",1,5
"The Sims 4",28.7,2,55.7,3,2,34,11,6,1,6.8,48,"Amazing game, but too many bugs.",2,3
"Portal 2",33.4,3,41.42,1,1,58,9,9,2,36.1,60,"Solid game, but the graphics could be better.",1,10
"Red Dead Redemption 2",30,2,46.11,2,1,73,9,5,2,23.7,59,"Amazing game, but too many bugs.",2,3
"Just Dance 2024",19.6,3,23.8,4,2,68,7,1,2,29.2,35,"Amazing game, but too many bugs.",2,8
"PokÃ©mon Scarlet & Violet",26.2,1,34.03,1,2,68,12,8,1,31.1,3,"Great game, but too many bugs.",1,4
"League of Legends",41.7,1,50.29,3,1,74,14,5,1,50.7,54,"Amazing game, but the gameplay is amazing.",2,1
"Sid Meierâ€™s Civilization VI",46.3,4,56.32,5,1,61,9,4,1,57.2,15,"Amazing game, but too many bugs.",1,3
Tetris,23.6,1,30.93,3,2,47,7,10,2,33.3,52,"Disappointing game, but too many bugs.",2,4
"1000-Piece Puzzle",25.5,1,49.92,1,2,53,5,1,1,7.2,44,"Disappointing game, but the gameplay is amazing.",1,3
"Bioshock Infinite",37.3,1,49.87,3,1,72,9,9,2,37.2,38,"Solid game, but the graphics could be better.",2,3
"Call of Duty: Modern Warfare 2",15.6,4,29.06,2,2,56,14,1,2,6.3,46,"Disappointing game, but the graphics could be better.",1,10
"Call of Duty: Modern Warfare 2",25,3,28.1,4,1,68,5,6,2,36.5,8,"Disappointing game, but the graphics could be better.",1,5
"The Witcher 3: Wild Hunt",37.1,1,54.73,4,2,75,8,7,2,30.5,57,"Amazing game, but the graphics could be better.",1,8
"Hitman 3",31.3,2,25.51,5,2,71,12,1,1,56.5,19,"Amazing game, but the gameplay is amazing.",1,6
"Fall Guys",41.7,3,49.4,2,2,70,13,7,1,56.6,55,"Great game, but the graphics could be better.",1,7
"Bioshock Infinite",29.2,3,45.77,3,2,34,12,1,1,24.2,18,"Disappointing game, but too many bugs.",2,5
"The Witcher 3: Wild Hunt",31.4,2,31.55,4,2,76,8,4,1,48.1,23,"Amazing game, but the graphics could be better.",1,7
"Call of Duty: Modern Warfare 2",23.7,1,41.99,1,2,26,8,1,2,8.1,55,"Great game, but the gameplay is amazing.",1,3
"Half-Life: Alyx",29.1,2,39.66,4,1,39,8,9,2,26.7,23,"Disappointing game, but too many bugs.",1,5
"Portal 2",29.6,4,55.91,1,1,28,9,4,2,7.8,61,"Amazing game, but the graphics could be better.",2,2
"Spelunky 2",19.4,2,25.85,4,1,77,1,9,2,15.1,2,"Amazing game, but too many bugs.",1,7
"Rocket League",28.1,1,35.93,1,1,49,5,1,1,28.6,24,"Disappointing game, but too many bugs.",1,1
Tetris,13.2,2,21.5,1,1,19,4,5,1,5.4,40,"Disappointing game, but too many bugs.",2,10
"Tekken 7",16.3,2,24.13,2,2,36,11,1,1,19.8,14,"Disappointing game, but the gameplay is amazing.",1,8
"The Legend of Zelda: Breath of the Wild",30.5,4,39.51,5,2,25,9,2,1,36.1,60,"Amazing game, but the graphics could be better.",2,1
"FIFA 24",40,4,48.02,2,1,60,13,8,1,49.7,8,"Disappointing game, but too many bugs.",1,6
Minecraft,48.1,4,58.08,4,1,52,10,8,1,57.8,17,"Great game, but the gameplay is amazing.",1,7
Fortnite,28.6,4,48.91,3,1,36,7,7,2,10,39,"Great game, but the gameplay is amazing.",1,5
"Street Fighter V",23.8,1,35.97,1,1,19,2,4,2,21.6,12,"Solid game, but too many bugs.",2,6
"Spelunky 2",33,2,56.19,1,2,41,5,7,2,18.9,36,"Solid game, but the graphics could be better.",1,4
"The Elder Scrolls V: Skyrim",25.7,2,32.74,4,2,18,14,10,1,29,46,"Solid game, but the gameplay is amazing.",1,6
"FIFA 24",34.4,2,40.54,5,1,56,8,3,1,44.1,41,"Solid game, but the graphics could be better.",1,1
"Hitman 3",29.3,3,27.66,4,1,3,13,4,2,57.5,48,"Amazing game, but too many bugs.",1,7
"Pillars of Eternity II: Deadfire",16.3,4,26.36,4,2,19,6,9,2,8,12,"Solid game, but the gameplay is amazing.",2,10
Hades,22.3,1,23.28,2,1,19,11,10,1,29.9,23,"Disappointing game, but the gameplay is amazing.",1,4
"The Legend of Zelda: Breath of the Wild",34,3,52.55,4,1,23,5,5,2,25.7,55,"Disappointing game, but the graphics could be better.",2,4
"Sid Meierâ€™s Civilization VI",25.9,4,45.91,1,1,26,2,7,2,12.5,58,"Great game, but too many bugs.",2,1
"Mario Kart 8 Deluxe",35.3,2,54.41,2,2,78,9,3,2,29.1,27,"Disappointing game, but too many bugs.",1,3
"Spelunky 2",21.2,4,30.33,3,1,74,13,6,2,14.4,21,"Disappointing game, but the gameplay is amazing.",1,2
"Pillars of Eternity II: Deadfire",27.6,3,22.68,2,1,32,9,9,1,53.5,39,"Great game, but the graphics could be better.",2,2
"Super Smash Bros. Ultimate",22.5,3,38.44,2,1,17,13,2,2,12.2,56,"Great game, but the gameplay is amazing.",2,6
"Overwatch 2",18.3,3,26.95,3,1,50,12,5,2,18.8,50,"Great game, but too many bugs.",1,4
"Portal 2",33.7,4,57.33,1,1,41,11,2,1,12.7,44,"Solid game, but too many bugs.",2,8
"Just Dance 2024",28.1,3,28.82,4,1,38,12,9,2,47.8,16,"Amazing game, but the graphics could be better.",2,7
"Kingdom Hearts III",20.5,2,26.23,2,1,69,2,5,1,26.7,62,"Disappointing game, but the gameplay is amazing.",2,5
"Halo Infinite",34.3,1,39.69,1,2,39,2,2,2,44.3,45,"Disappointing game, but the graphics could be better.",1,8
"Half-Life: Alyx",34.9,2,44.52,3,1,26,14,8,1,43.7,58,"Solid game, but too many bugs.",2,3
"Kingdom Hearts III",34.5,3,42.57,5,2,79,9,1,2,49.5,54,"Amazing game, but too many bugs.",2,5
"Hitman 3",36.1,2,40.84,2,1,26,13,3,2,56.9,11,"Great game, but too many bugs.",2,7
"Among Us",37.6,3,59.02,3,2,58,4,8,2,23,33,"Solid game, but the gameplay is amazing.",2,2
"The Witcher 3: Wild Hunt",18,4,25.87,2,1,80,2,1,2,15.3,45,"Disappointing game, but too many bugs.",2,2
"Rocket League",29.9,2,50.19,3,2,81,14,1,1,22.2,2,"Solid game, but the graphics could be better.",1,4
"Stardew Valley",17.2,3,26.28,5,1,68,6,7,1,14.2,57,"Solid game, but the gameplay is amazing.",2,10
"Kingdom Hearts III",26.4,3,21.83,3,2,82,8,8,1,57.5,11,"Great game, but the graphics could be better.",2,1
Cuphead,28.3,1,40.43,3,1,55,2,3,1,32.7,61,"Solid game, but the gameplay is amazing.",1,7
"FIFA 24",33.2,3,27.33,5,1,2,2,6,1,59.5,34,"Amazing game, but too many bugs.",2,1
Fortnite,18,4,26.11,1,1,22,6,2,2,23,63,"Solid game, but too many bugs.",2,7
"League of Legends",26.8,2,32.59,1,1,62,14,8,2,28.5,11,"Amazing game, but the gameplay is amazing.",2,7
"Hitman 3",30.8,1,31.07,3,2,19,7,10,1,56.1,25,"Great game, but the gameplay is amazing.",2,8
"The Witcher 3: Wild Hunt",27.2,1,39.65,3,2,83,7,7,1,29,53,"Amazing game, but the gameplay is amazing.",2,6
"Red Dead Redemption 2",28.1,3,25.38,4,1,78,12,4,1,51.9,46,"Disappointing game, but the graphics could be better.",1,3
"The Sims 4",34.8,2,56.2,4,1,31,9,1,2,21.9,35,"Solid game, but the gameplay is amazing.",2,8
"The Legend of Zelda: Breath of the Wild",32.1,3,56.06,3,2,84,6,5,1,16.6,6,"Amazing game, but too many bugs.",2,6
"Sid Meierâ€™s Civilization VI",25,2,24.34,2,2,65,4,4,1,42.1,6,"Great game, but the gameplay is amazing.",2,6
"The Elder Scrolls V: Skyrim",19.6,4,21.02,1,2,55,3,8,1,29.8,36,"Amazing game, but the graphics could be better.",2,8
"Street Fighter V",32.9,3,51.17,5,1,19,11,9,1,19.8,40,"Great game, but the gameplay is amazing.",2,3
"The Sims 4",45.1,3,59.79,2,2,28,14,8,1,55.3,19,"Amazing game, but the graphics could be better.",1,1
"Stardew Valley",31.4,4,27.88,3,2,16,8,6,1,52.3,53,"Solid game, but the graphics could be better.",1,3
"Half-Life: Alyx",26.1,2,25.82,5,2,71,9,8,2,43.9,37,"Solid game, but the graphics could be better.",1,6
"Sid Meierâ€™s Civilization VI",22.6,4,39.34,5,1,30,5,2,2,11.1,50,"Great game, but the graphics could be better.",1,2
"Hitman 3",39,3,49.28,1,1,6,13,6,2,50.5,18,"Great game, but the graphics could be better.",2,1
"The Witcher 3: Wild Hunt",23.7,4,38.82,1,1,23,13,4,2,20.1,46,"Amazing game, but the graphics could be better.",2,5
Tetris,33.6,3,50.59,3,1,37,10,7,1,33.3,1,"Solid game, but the gameplay is amazing.",2,8
"Ghost of Tsushima",23.7,2,31.24,4,2,50,8,5,1,28,16,"Solid game, but the graphics could be better.",1,8
"League of Legends",23.1,1,40.01,1,1,74,11,10,1,15.9,64,"Great game, but the graphics could be better.",2,2
"Mario Kart 8 Deluxe",23.1,4,41.66,2,2,52,4,8,1,10.7,13,"Great game, but too many bugs.",1,7
"The Elder Scrolls V: Skyrim",37,2,49.52,5,1,57,10,7,1,35,31,"Amazing game, but too many bugs.",2,8
"Bioshock Infinite",32.2,3,33.97,5,2,70,13,2,2,48,1,"Great game, but too many bugs.",2,10
"Spelunky 2",33.9,3,35.46,1,1,26,5,9,1,53.5,29,"Amazing game, but the gameplay is amazing.",1,5
"Among Us",25.2,1,42.92,2,1,85,12,4,2,10.7,51,"Great game, but the graphics could be better.",1,6
"Ghost of Tsushima",21.6,2,28.28,5,1,6,2,7,2,19.6,59,"Solid game, but too many bugs.",1,7
"Super Mario Odyssey",29.5,4,42.33,5,2,37,9,4,2,31.2,34,"Great game, but the gameplay is amazing.",1,6
"The Legend of Zelda: Breath of the Wild",35.2,3,47.78,2,2,29,1,6,2,43.5,23,"Great game, but the graphics could be better.",2,4
"Among Us",18.2,2,21.5,3,1,3,5,7,1,24,49,"Solid game, but the gameplay is amazing.",2,6
"Rocket League",37.4,4,51.05,4,1,57,8,1,2,42.4,62,"Amazing game, but the graphics could be better.",2,4
"Fall Guys",31.7,3,37.36,2,1,74,8,3,1,46.5,7,"Disappointing game, but the gameplay is amazing.",1,10
"Mario Kart 8 Deluxe",33.7,4,42.6,5,2,86,7,3,2,39.1,7,"Amazing game, but too many bugs.",2,5
"Call of Duty: Modern Warfare 2",23,2,35.9,2,2,30,7,1,2,15.8,56,"Disappointing game, but the gameplay is amazing.",1,6
